Rank,Metagenome ID,Study,Latitude,Longitude,Rel. abundance (mean),Rel. abundance (SD),N valid ratios,Tier
1,3300022306,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.7,-122.34,3.056,0.411,12,high
2,3300022308,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.7,-122.34,3.017,0.385,12,high
3,3300022206,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.7,-122.34,2.973,0.435,12,high
4,3300048070,Marine and freshwater sediment microbial communities from various locations,39.9902,51.5008,2.813,0.323,12,high
5,3300022213,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",38.05,-121.934,2.789,0.309,12,high
6,3300048494,Marine and freshwater sediment microbial communities from various locations,39.9902,51.5008,2.695,0.353,12,high
7,3300022220,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.79,-122.36,2.657,0.281,12,high
8,3300048056,Marine and freshwater sediment microbial communities from various locations,39.9902,51.5008,2.641,0.337,12,high
9,3300048057,Marine and freshwater sediment microbial communities from various locations,39.9902,51.5008,2.621,0.272,12,high
10,3300022413,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.79,-122.36,2.516,0.305,12,high
11,3300022214,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",38.05,-121.934,2.446,0.288,12,high
12,3300022217,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.7,-122.34,2.276,0.288,12,high
13,3300038945,"Marine sediment microbial communities from Mesquite Bay, Texas, USA",28.147,-96.8455,2.27,0.124,12,high
14,3300048495,Marine and freshwater sediment microbial communities from various locations,39.9902,51.5008,2.163,0.357,12,high
15,3300041087,"Marine sediment microbial communities from Bohai Sea, China",38.6675,119.5475,2.144,0.144,12,high
16,3300041078,"Marine sediment microbial communities from Bohai Sea, China",39.692778,120.660556,2.108,0.157,12,high
17,3300022201,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.79,-122.36,2.086,0.284,12,high
18,3300041076,"Marine sediment microbial communities from Bohai Sea, China",38.6675,119.5475,2.057,0.141,12,high
19,3300041084,"Marine sediment microbial communities from Bohai Sea, China",39.692778,120.660556,2.056,0.227,12,high
20,3300038765,"Marine sediment microbial communities from Mesquite Bay, Texas, USA",28.147,-96.8455,2.037,0.163,12,high
21,3300032110,Microbial communities from the deep biosphere,22.755,-46.081,2.034,0.76,12,high
22,3300048990,Marine and freshwater sediment microbial communities from various locations,39.9902,51.5008,1.956,0.243,12,medium
23,3300041083,"Marine sediment microbial communities from Bohai Sea, China",39.692778,120.660556,1.856,0.179,12,medium
24,3300041081,"Marine sediment microbial communities from Bohai Sea, China",38.6675,119.5475,1.798,0.107,12,medium
25,3300022218,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",38.03,-122.37,1.756,0.236,12,medium
26,3300022202,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",37.79,-122.36,1.717,0.264,12,medium
27,3300060480,Marine and freshwater sediment microbial communities from various locations,,,1.713,0.126,12,medium
28,3300022226,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",38.03,-122.37,1.707,0.159,12,medium
29,3300022309,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",38.05,-121.934,1.639,0.179,12,medium
30,3300041079,"Marine sediment microbial communities from Bohai Sea, China",39.692778,120.660556,1.626,0.204,12,medium
31,3300048058,Marine and freshwater sediment microbial communities from various locations,31.971,30.142,1.57,0.298,12,medium
32,3300044504,Sediment microbial communities from various environments and locations in Europe,58.8444,17.795,1.483,0.145,12,medium
33,3300051646,Sediment microbial communities from various environments and locations in Europe,58.8444,17.795,1.436,0.141,12,medium
34,3300022209,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",38.03,-122.37,1.342,0.159,12,medium
35,3300044482,Sediment microbial communities from various environments and locations in Europe,58.9344,17.7391,1.198,0.122,12,medium
36,3300022307,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",38.03,-122.37,1.157,0.148,12,medium
37,3300048055,Marine and freshwater sediment microbial communities from various locations,39.7455,50.4806,1.14,0.135,12,medium
38,3300041080,"Marine sediment microbial communities from Bohai Sea, China",39.692778,120.660556,1.106,0.109,12,medium
39,3300042534,Sediment microbial communities from various environments and locations in Europe,59.0386,17.7277,1.09,0.112,12,medium
40,3300051645,Sediment microbial communities from various environments and locations in Europe,59.0386,17.7277,1.079,0.112,12,medium
41,3300041086,"Marine sediment microbial communities from Bohai Sea, China",39.692778,120.660556,1.067,0.134,12,medium
42,3300046044,Sediment microbial communities from various environments and locations in Europe,59.0386,17.7277,1.065,0.148,12,medium
43,3300042902,Sediment microbial communities from various environments and locations in Europe,58.9344,17.7391,1.043,0.099,12,medium
44,3300038831,"Marine sediment microbial communities from Mesquite Bay, Texas, USA",28.147,-96.8455,1.036,0.11,12,medium
45,3300051647,Sediment microbial communities from various environments and locations in Europe,58.9344,17.7391,1.03,0.099,12,medium
