sample_code,metagenome_id,station,fraction,ocean,basin,watermass,depth_m,latitude,longitude,sequencing_depth_gbp,cds_count
MP0103,3300001060,7.0,free_living,Atlantic,Canary basin,NADW,-4005.0,21.51,-23.45,3.54,99630
MP0104,3300001054,7.0,particle_attached,Atlantic,Canary basin,NADW,-4005.0,21.51,-23.45,3.46,54636
MP0145,3300000966,10.0,free_living,Atlantic,Canary basin,NADW,-4002.0,14.52,-26.0,1.52,35227
MP0144,3300000967,10.0,particle_attached,Atlantic,Canary basin,NADW,-4002.0,14.52,-26.0,2.03,21472
MP0204,3300001125,13.0,free_living,Atlantic,Canary basin,NADW,-4003.0,7.33,-26.0,3.5,101738
MP0203,3300001091,13.0,particle_attached,Atlantic,Canary basin,NADW,-4003.0,7.33,-26.0,3.4,91495
MP0262,3300001574,17.0,free_living,Atlantic,Brazil basin,NADW,-4002.0,-3.03,-27.33,3.92,46106
MP0261,3300001122,17.0,particle_attached,Atlantic,Brazil basin,NADW,-4002.0,-3.03,-27.33,3.17,44985
MP0327,3300001106,20.0,free_living,Atlantic,Brazil basin,NADW,-4001.0,-9.12,-30.19,3.64,74269
MP0326,3300001013,20.0,particle_attached,Atlantic,Brazil basin,NADW,-4001.0,-9.12,-30.19,2.58,37209
MP0372,3300001068,23.0,free_living,Atlantic,Brazil basin,NADW,-4003.0,-15.83,-33.41,5.08,116803
MP0371,3300000984,23.0,particle_attached,Atlantic,Brazil basin,NADW,-4003.0,-15.83,-33.41,4.24,39368
MP0441,3300000950,26.0,free_living,Atlantic,Brazil basin,WSDW,-3907.0,-22.97,-36.95,3.2,93702
MP0440,3300001126,26.0,particle_attached,Atlantic,Brazil basin,WSDW,-3907.0,-22.97,-36.95,3.39,50663
MP0556,3300001063,32.0,free_living,Atlantic,Brazil basin,NADW,-3199.0,-26.91,-21.43,3.1,75838
MP0555,3300000946,32.0,particle_attached,Atlantic,Brazil basin,NADW,-3199.0,-26.91,-21.43,3.15,47428
MP0627,3300000995,35.0,free_living,Atlantic,Out of basins,NADW,-3662.0,-28.62,-11.8,2.48,37959
MP0626,3300001578,35.0,particle_attached,Atlantic,Out of basins,NADW,-3662.0,-28.62,-11.8,3.14,28273
MP0740,3300001579,41.0,free_living,Atlantic,Agulhas-Cape basin,NADW,-4001.0,-31.81,6.84,3.22,87400
MP0739,3300000994,41.0,particle_attached,Atlantic,Agulhas-Cape basin,NADW,-4001.0,-31.81,6.84,1.34,12720
MP0759,3300001581,43.0,free_living,Atlantic,Agulhas-Cape basin,WSDW,-3900.0,-32.8128,12.7692,3.39,99081
MP0758,3300001006,43.0,particle_attached,Atlantic,Agulhas-Cape basin,WSDW,-3900.0,-32.8128,12.7692,2.46,15995
MP0901,3300001058,50.0,free_living,Indian,Agulhas-Cape basin,WSDW,-4002.0,-33.55,39.89,3.11,96321
MP0900,3300001572,50.0,particle_attached,Indian,Agulhas-Cape basin,WSDW,-4002.0,-33.55,39.89,2.96,65064
MP0960,3300001569,53.0,free_living,Indian,Madagascar basin,CDW,-3500.0,-27.9783,63.2478,3.43,156334
MP0959,3300000975,53.0,particle_attached,Indian,Madagascar basin,CDW,-3500.0,-27.9783,63.2478,3.6,50663
