metagenome_id,study_name,ecosystem_subtype,specific_ecosystem,geographic_location,latitude,longitude,gold_study_id,cds_count_assembled
3300022213,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",Sediment,Unclassified,USA: California,38.05,-121.934,Gs0131968,1743796
3300031984,Microbial communities from the deep biosphere,Sediment,Unclassified,Andaman Sea,11.2811,93.1,Gs0135966,182665
3300039087,Microbial communities from sediments and seawater samples from Gulf of Mexico,Sediment,Unclassified,"Gulf of México, México",20.7404,-94.77106,Gs0142464,357823
3300038831,"Marine sediment microbial communities from Mesquite Bay, Texas, USA",Sediment,Unclassified,"Mesquite Bay, Texas, USA",28.147,-96.8455,Gs0142604,455112
3300022201,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",Sediment,Unclassified,USA: California,37.79,-122.36,Gs0131968,1624781
3300041087,"Marine sediment microbial communities from Bohai Sea, China",Sediment,Unclassified,China: Bohai Sea,38.6675,119.5475,Gs0149406,2073983
3300022204,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",Sediment,Unclassified,USA: California,38.03,-122.15,Gs0131968,1992888
3300022205,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",Sediment,Unclassified,USA: California,38.03,-122.15,Gs0131968,1430812
3300023443,Microbial communities of deep seafloor calcareous sediment with volcaniclastic crumbs from southwestern Indian Ocean,Sediment,Unclassified,southwestern Indian Ocean,-38.75,47.41667,Gs0133492,3711653
3300000118,Marine microbial communities from chronically polluted sediments in four geographic locations,Intertidal zone,Sediment,"OR site, Ushuaia Bay, Tierra del Fuego, Argentina",-54.80407,-68.288208,Gs0063447,187152
3300046044,Sediment microbial communities from various environments and locations in Europe,Sediment,Unclassified,Sweden: Black Sea,59.0386,17.7277,Gs0150021,906383
3300008464,Deep sea sediment microbial communities from the Gulf of Mexico,Sediment,Unclassified,Gulf of Mexico,27.0,-88.0,Gs0118500,176451
3300038502,Microbial communities from sediments and seawater samples from Gulf of Mexico,Sediment,Unclassified,"Gulf of México, México",20.5965167,-94.3132,Gs0142464,318876
3300038794,Microbial communities from sediments and seawater samples from Gulf of Mexico,Sediment,Unclassified,"Gulf of México, México",19.1713,-93.3,Gs0142464,318876
3300010931,"Marine sediment microbial communities from North Pond, Atlantic Mid-Ocean Ridge.",Sediment,Unclassified,"North Pond, Atlantic Ocean",22.8,-46.05,Gs0121566,202717
3300022535,"Abyssal plain sediment microbial communities from Eastern Gulf of Mexico, Atlantic Ocean",Sediment,Unclassified,"Eastern Gulf of Mexico, Atlantic Ocean",25.3043,-90.0659,Gs0133265,320975
3300022307,"Estuarine microbial communities from the San Francisco Bay-Delta (SFBD), California, United States",Sediment,Unclassified,USA: California,38.03,-122.37,Gs0131968,2255176
3300043819,Sediment microbial communities from various environments and locations in Europe,Sediment,Unclassified,Sweden: Black Sea,58.9344,17.7391,Gs0150021,107715
3300000131,Marine microbial communities from chronically polluted sediments in four geographic locations,Intertidal zone,Sediment,"MC site, Ushuaia Bay, Tierra del Fuego, Argentina",-54.810872,-68.295525,Gs0063447,174424
3300000123,Marine microbial communities from chronically polluted sediments in four geographic locations,Intertidal zone,Sediment,"S2 site, Potter Cove, King George Island, Antarctic Peninsula",-62.231932,-58.655087,Gs0063447,100652
3300051646,Sediment microbial communities from various environments and locations in Europe,Sediment,Unclassified,Sweden: Black Sea,58.8444,17.795,Gs0150021,1347712
3300049890,San Juan Bay Estuary Surface Sediment Microbiome,Sediment,Unclassified,Puerto Rico: San Juan Bay,18.428886,-66.042212,Gs0156553,778156
3300041085,"Marine sediment microbial communities from Bohai Sea, China",Sediment,Unclassified,China: Bohai Sea,38.6675,119.5475,Gs0149406,3541453
3300023219,Microbial communities of deep seafloor calcareous sediment with volcaniclastic crumbs from southwestern Indian Ocean,Sediment,Unclassified,southwestern Indian Ocean,-35.93333,52.98333,Gs0133492,2877662
3300041084,"Marine sediment microbial communities from Bohai Sea, China",Sediment,Unclassified,China: Bohai Sea,39.692778,120.660556,Gs0149406,2474863
3300041081,"Marine sediment microbial communities from Bohai Sea, China",Sediment,Unclassified,China: Bohai Sea,38.6675,119.5475,Gs0149406,2844125
3300042536,Sediment microbial communities from various environments and locations in Europe,Sediment,Unclassified,Sweden: Black Sea,58.8444,17.795,Gs0150021,803725
3300035452,Microbial communities from sediments and seawater samples from Gulf of Mexico,Sediment,Unclassified,"Gulf of México, Mexico",25.6528081,-95.5731,Gs0142464,275418
