metagenome_id,study_name,ecosystem_subtype,specific_ecosystem,geographic_location,latitude,longitude,cds_count
3300044783,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,1951493
3300005147,"Soil and rhizosphere microbial communities from Centre INRS-Institut Armand-Frappier, Laval, Canada",Rock core/Sediment,Unclassified,"Laval, Canada",45.54,-73.72,613633
3300025322,"Soil microbial communities from Rifle, Colorado, USA",Rock core/Sediment,Unclassified,"Rifle, Colorado, United States",39.534762,-107.782602,3888340
3300044495,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,1860539
3300053049,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,1352164
3300053072,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,1760884
3300053030,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,2027440
3300001908,"Contaminated subsurface sediment microbial communities from Dusseldorf, Germany, analyzing toluene degradation",Sediment,Unclassified,"Dusseldorf-Flingern, Germany",51.21,6.46,40
3300052975,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,956568
3300052974,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,1228703
3300044760,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,2168847
3300001195,Hydrocarbon resource environments microbial communities from Canada and USA,Sediment,Unclassified,"Alberta, Canada",56.04,-118.13,10953
3300053055,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909403,-107.028214,2197627
3300044763,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,1382145
3300053054,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909403,-107.028214,2386749
3300044463,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,1481972
3300025146,"Soil microbial communities from Rifle, Colorado, USA",Rock core/Sediment,Unclassified,"Rifle, Colorado, United States",39.53,-107.78,1714454
3300044502,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,1550951
3300027401,"Soil and rhizosphere microbial communities from Centre INRS-Institut Armand-Frappier, Laval, Canada",Rock core/Sediment,Unclassified,"Laval, Canada",45.54,-73.72,389928
3300044460,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,1626178
3300053051,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,2690743
3300052971,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,1258748
3300025002,"Soil microbial communities from Rifle, Colorado, USA",Rock core/Sediment,Unclassified,"Rifle, Colorado, United States",39.53,-107.78,380757
3300052968,"Sediment microbial communities from uranium-contaminated floodplain near Riverton, Wyoming, United States",Sediment,Unclassified,USA: Colorado,38.909671,-107.028642,1605896
3300025160,"Soil microbial communities from Rifle, Colorado, USA",Rock core/Sediment,Unclassified,"Rifle, Colorado, United States",39.53,-107.78,2427356
3300002209,"Soil microbial communities from Rifle, Colorado, USA",Rock core/Sediment,Unclassified,"Rifle, Colorado, United States",39.534762,-107.782602,505248
3300044757,"Sediment microbial communities from East River floodplain, Colorado, United States",Sediment,Unclassified,USA: Colorado,38.9229,-106.9499,1409153
3300002189,"Enriched soil microbial communities from the University of Wisconsin-Madison, USA, enriched with a pyrite oxidizing culture",Sediment,Pyrite containing,"Hanford Site, Washington, USA",46.547528,-119.521866,6392
