img_genome_id,genome_name,phylum,class,pf03007_count,sequencing_status,genome_size_bp,gene_count,study_name,sequencing_center
637000001,Candidatus Koribacter versatilis Ellin345,Acidobacteriota,Terriglobia,1,Finished,5650368,4837,Acidobacteria Uncultured,DOE Joint Genome Institute  (JGI)
637000002,Acinetobacter baylyi ADP1,Pseudomonadota,Gammaproteobacteria,1,Finished,3598621,3433,Acinetobacter baylyi ADP1,CEA Genoscope
637000004,Alcanivorax borkumensis SK2,Pseudomonadota,Gammaproteobacteria,2,Finished,3120143,2817,Alcanivorax borkumensis SK2,Bielefeld University
637000007,Anaeromyxobacter dehalogenans 2CP-C,Myxococcota,Myxococcia,1,Finished,5013479,4421,Multiple Anaeromyxobacter,DOE Joint Genome Institute  (JGI)
637000038,Bradyrhizobium japonicum USDA 110,Pseudomonadota,Alphaproteobacteria,1,Finished,9105828,8402,Bradyrhizobium japonicum USDA 110,Kazusa DNA Research Institute
637000103,Erythrobacter litoralis HTCC2594,Pseudomonadota,Alphaproteobacteria,1,Finished,3052398,3068,Erythrobacter litoralis HTCC2594,J. Craig Venter Institute
637000115,Frankia alni ACN14a,Actinomycetota,Actinomycetes,1,Finished,7497934,6795,Frankia alni ACN14a,CEA Genoscope
637000128,Hahella chejuensis KCTC 2396,Pseudomonadota,Gammaproteobacteria,4,Finished,7215267,6875,Hahella chejuensis KCTC 2396,Korea Research Institute of Bioscience and Biotechnology
637000168,Mycobacterium avium paratuberculosis K-10,Actinomycetota,Actinomycetes,9,Finished,4829781,4415,Mycobacterium avium paratuberculosis K-10,University of Minnesota
637000170,Mycobacterium leprae TN,Actinomycetota,Actinomycetes,4,Finished,3268203,2750,Mycobacterium leprae TN,"Institut Pasteur, Wellcome Trust Sanger Institute"
637000171,Mycobacterium sp. MCS,Actinomycetota,Actinomycetes,15,Finished,5920523,5704,"Mycobacteria, 5 strains",DOE Joint Genome Institute  (JGI)
637000172,Mycobacterium tuberculosis CDC1551,Actinomycetota,Actinomycetes,14,Finished,4403837,4300,Mycobacterium tuberculosis sequencing- JCVI,J. Craig Venter Institute
637000186,Myxococcus xanthus DK 1622,Myxococcota,Myxococcia,1,Finished,9139763,7454,Myxococcus xanthus DK 1622,J. Craig Venter Institute
637000198,Nocardia farcinica IFM 10152,Actinomycetota,Actinomycetes,6,Finished,6292344,6011,Nocardia farcinica IFM 10152,"Chiba University, Kitasato University, National Institute of Infectious Diseases, Japan"
637000206,Photobacterium profundum SS9,Pseudomonadota,Gammaproteobacteria,1,Finished,6403280,5746,Photobacterium profundum SS9,University of Padova
637000208,Polaromonas sp. JS666,Pseudomonadota,Betaproteobacteria,2,Finished,5898676,5634,Proteobacterium strain JS666 and Nocardioides strain JS614,DOE Joint Genome Institute  (JGI)
637000226,Psychrobacter arcticus 273-4,Pseudomonadota,Gammaproteobacteria,1,Finished,2650701,2215,Psychrobacter sp. 273-4,DOE Joint Genome Institute  (JGI)
637000227,Psychrobacter cryohalolentis K5,Pseudomonadota,Gammaproteobacteria,1,Finished,3101097,2582,Burkholderia strains,DOE Joint Genome Institute  (JGI)
637000234,Rhodococcus jostii RHA1,Actinomycetota,Actinomycetes,17,Finished,9702737,9242,Rhodococcus jostii RHA1,Genome British Columbia
637000235,Rhodoferax ferrireducens T118,Pseudomonadota,Betaproteobacteria,3,Finished,4969784,4561,Single Microbes GTL,DOE Joint Genome Institute  (JGI)
637000250,"Salinibacter ruber M31, DSM 13855",Rhodothermota,Rhodothermia,1,Finished,3587328,2899,"Salinibacter ruber M31, DSM 13855",J. Craig Venter Institute
637000271,Sphingopyxis alaskensis RB2256,Pseudomonadota,Alphaproteobacteria,2,Finished,3373713,3265,Sphingopyxis alaskensis,DOE Joint Genome Institute  (JGI)
637000304,Streptomyces avermitilis MA-4680,Actinomycetota,Actinomycetes,1,Finished,9119895,7792,Streptomyces avermitilis MA-4680,National Institute of Technology and Evaluation
637000305,Streptomyces coelicolor A3(2),Actinomycetota,Actinomycetes,2,Finished,9054847,8325,Streptomyces coelicolor A3(2),Wellcome Trust Sanger Institute
638341081,Erythrobacter sp. NAP1,Pseudomonadota,Alphaproteobacteria,1,Permanent Draft,3265346,3226,Erythrobacter sp. NAP1,J. Craig Venter Institute
638341107,Janibacter sp. HTCC2649,Actinomycetota,Actinomycetes,1,Permanent Draft,4228723,4156,Janibacter sp. HTCC2649,J. Craig Venter Institute
638341130,Mycobacterium tuberculosis C,Actinomycetota,Actinomycetes,14,Permanent Draft,4276200,4087,Mycobacterium tuberculosis sequencing- Broad Institute,Broad Institute
638341169,Reinekea blandensis MED297,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,4506331,4301,Reinekea sp. MED297,J. Craig Venter Institute
638341218,Polaribacter sp. MED152,Bacteroidota,Flavobacteriia,1,Finished,2967100,2723,Polaribacter sp. MED152,J. Craig Venter Institute
639633001,Acidothermus cellulolyticus 11B,Actinomycetota,Actinomycetes,1,Finished,2443540,2229,Acidothermus cellulolyticus,DOE Joint Genome Institute  (JGI)
639633004,Aeromonas hydrophila hydrophila ATCC 7966,Pseudomonadota,Gammaproteobacteria,1,Finished,4744448,4321,Aeromonas hydrophila hydrophila ATCC 7966,J. Craig Venter Institute
639633037,Marinobacter aquaeolei VT8,Pseudomonadota,Gammaproteobacteria,5,Finished,4779762,4342,Single Microbes 2005 CSP,DOE Joint Genome Institute  (JGI)
639633039,Mycobacterium avium 104,Actinomycetota,Actinomycetes,10,Finished,5475491,5305,Mycobacterium avium 104,J. Craig Venter Institute
639633040,Mycobacterium bovis BCG Pasteur 1173P2,Actinomycetota,Actinomycetes,14,Finished,4374522,4048,Mycobacterium bovis BCG Pasteur 1173P2,"Animal Health and Veterinary Laboratories Agency (AHVLA), Institut Pasteur"
639633042,Mycobacterium sp. KMS,Actinomycetota,Actinomycetes,15,Finished,6256079,6089,"Mycobacteria, 5 strains",DOE Joint Genome Institute  (JGI)
639633044,Mycolicibacterium vanbaalenii PYR-1,Actinomycetota,Actinomycetes,13,Finished,6491865,6047,"Mycobacteria, 5 strains",DOE Joint Genome Institute  (JGI)
639633046,Nocardioides sp. JS614,Actinomycetota,Actinomycetes,5,Finished,5293685,4975,Proteobacterium strain JS666 and Nocardioides strain JS614,DOE Joint Genome Institute  (JGI)
639633051,Polaromonas naphthalenivorans CJ2,Pseudomonadota,Betaproteobacteria,1,Finished,5366143,5000,Polaromonas naphthalenivorans sp. Nov,DOE Joint Genome Institute  (JGI)
639633060,Candidatus Solibacter usitatus Ellin6076,Acidobacteriota,Terriglobia,1,Finished,9965640,8003,Solibacter usitatus Ellin6076,DOE Joint Genome Institute  (JGI)
639857000,Stigmatella aurantiaca DW4/3-1,Myxococcota,Myxococcia,1,Permanent Draft,10265408,8596,Stigmatella aurantiaca DW4/3-1,J. Craig Venter Institute
639857034,Marine gamma proteobacterium sp. HTCC2143,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3925629,3709,Marine gamma proteobacterium sp. HTCC2143,J. Craig Venter Institute
639857036,Marine gamma proteobacterium sp. HTCC2080,Pseudomonadota,Gammaproteobacteria,1,Permanent Draft,3576081,3229,Marine gamma proteobacterium sp. HTCC2080,J. Craig Venter Institute
640069319,Methylibium petroleiphilum PM1,Pseudomonadota,Betaproteobacteria,1,Finished,4643639,4601,Methylibium petroleiphilum PM1,DOE Joint Genome Institute  (JGI)
640069320,Mycobacterium sp. JLS,Actinomycetota,Actinomycetes,16,Finished,6048425,5855,"Mycobacteria, 5 strains",DOE Joint Genome Institute  (JGI)
640069329,Saccharopolyspora erythraea NRRL 2338,Actinomycetota,Actinomycetes,2,Finished,8212805,7290,Saccharopolyspora erythraea NRRL 2338 white,University of Cambridge
640427122,Mycolicibacterium gilvum PYR-GCK,Actinomycetota,Actinomycetes,11,Finished,5982829,5683,"Mycobacteria, 5 strains",DOE Joint Genome Institute  (JGI)
640427123,Mycobacterium tuberculosis F11 (ExPEC),Actinomycetota,Actinomycetes,14,Finished,4424435,4010,Mycobacterium tuberculosis sequencing- Broad Institute,Broad Institute
640427134,Psychrobacter sp. PRwf-1,Pseudomonadota,Gammaproteobacteria,2,Finished,2995049,2481,Psychrobacter sp. PRwf-1,DOE Joint Genome Institute  (JGI)
640427139,Roseiflexus sp. RS-1,Chloroflexota,Chloroflexia,2,Finished,5801598,4693,"Chloroflexi, 7 species",DOE Joint Genome Institute  (JGI)
640612205,Marinobacter sp. ELB17,Pseudomonadota,Gammaproteobacteria,3,Permanent Draft,4894744,4908,Marinobacter sp. ELB17,J. Craig Venter Institute
640753003,Anaeromyxobacter sp. Fw109-5,Myxococcota,Myxococcia,1,Finished,5277990,4549,Multiple Anaeromyxobacter,DOE Joint Genome Institute  (JGI)
640753047,"Roseiflexus castenholzii HLO8, DSM 13941",Chloroflexota,Chloroflexia,2,Finished,5723298,4509,"Chloroflexi, 7 species",DOE Joint Genome Institute  (JGI)
640963026,Limnobacter sp. MED105,Pseudomonadota,Betaproteobacteria,2,Permanent Draft,3390271,3285,Limnobacter sp. MED105,J. Craig Venter Institute
640963027,Marinobacter algicola DG893,Pseudomonadota,Gammaproteobacteria,4,Permanent Draft,4413003,4180,Marinobacter algicola DG893,J. Craig Venter Institute
640963030,Plesiocystis pacifica SIR-1,Myxococcota,unclassified,1,Permanent Draft,10587646,8542,Plesiocystis pacifica SIR-1,J. Craig Venter Institute
640963034,Erythrobacter sp. SD-21,Pseudomonadota,Alphaproteobacteria,1,Permanent Draft,2970874,2992,"Erythrobacter sp, SD-21",J. Craig Venter Institute
641228492,Parafrankia sp. EAN1pec,Actinomycetota,Actinomycetes,2,Finished,8982042,7250,Frankia casuarinae CcI3 Sequencing,DOE Joint Genome Institute  (JGI)
641522602,Acinetobacter baumannii AYE,Pseudomonadota,Gammaproteobacteria,1,Finished,4048735,3813,Acinetobacter baumannii AYE,CEA Genoscope
641522603,Acinetobacter baumannii SDF,Pseudomonadota,Gammaproteobacteria,1,Finished,3477996,3062,Acinetobacter baumannii SDF,CEA Genoscope
641522605,Aeromonas salmonicida salmonicida A449,Pseudomonadota,Gammaproteobacteria,1,Finished,5040536,4608,Aeromonas salmonicida salmonicida A449,"National Research Council, Institute for Marine Biosciences"
